id,name,date,tagline,description,minute,rating;;;
"1000029,Dune,2021,""Beyond fear, destiny awaits."",""Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."",155,3.89";;;
"1000030,The Shining,1980,""He came as the caretaker, but this hotel had its own guardians - who'd been there a long time"",""Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within."",144,4.25";;;
"1000031,Eternal Sunshine of the Spotless Mind,2004,You can erase someone from your mind. Getting them out of your heart is another story.,""Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake."",108,4.24";;;
"1000032,Once Upon a Time�?� in Hollywood,2019,""In this town, it can all change�?� like that"",""Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski�?�"",162,3.76";;;
"1000033,Inglourious Basterds,2009,Once upon a time in Nazi occupied France...,""In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as """"The Basterds"""" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers."",153,4.34";;;
1000034,Black Swan,2010,,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,108,4.14;;;
"1000035,Glass Onion,2022,""When the game ends, the mystery begins."",World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,140,3.48";;;
"1000036,Avengers: Infinity War,2018,An entire universe. Once and for all.,""As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."",149,3.95";;;
1000037,Little Women,2019,Own your story,Four sisters come of age in America in the aftermath of the Civil War.,135,4.14;;;
"1000038,Forrest Gump,1994,Life is like a box of chocolates...you never know what you're gonna get.,""A man with a low IQ has accomplished great things in his life and been present during significant historic events�??in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him."",142,4.12";;;
"1000039,Avengers: Endgame,2019,Part of the journey is the end.,""After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store."",181,3.86";;;
"1000040,Se7en,1995,Seven deadly sins. Seven ways to die.,""Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the """"seven deadly sins"""" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."",127,4.32";;;
"1000041,The Silence of the Lambs,1991,To enter the mind of a killer she must challenge the mind of a madman.,""Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out."",119,4.33";;;
"1000042,Django Unchained,2012,""Life, liberty and the pursuit of vengeance."",""With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."",165,4.26";;;
"1000043,Nope,2022,What's a bad miracle?,""Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery."",130,3.74";;;
"1000044,Baby Driver,2017,All you need is one killer track.,""After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."",113,3.72";;;
"1000045,Hereditary,2018,Every family tree hides a secret.,""When Ellen, the matriarch of the Graham family, passes away, her daughter�??s family begins to unravel cryptic and increasingly terrifying secrets about their ancestry."",128,3.98";;;
"1000046,The Social Network,2010,You don't get to 500 million friends without making a few enemies.,""On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room as a small site among friends soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications."",121,3.96";;;
"1000047,The Godfather,1972,An offer you can't refuse.,""Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."",175,4.56";;;
"1000048,Her,2013,A Spike Jonze Love Story,""In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all."",126,4.03";;;
"1000049,Scott Pilgrim vs. the World,2010,An epic of epic epicness.,""Scott Pilgrim is a 22 year old radical Canadian wannabe rockstar who falls in love with an American delivery girl, Ramona Flowers, and must defeat her seven evil exes to be able to date her."",113,3.87";;;
"1000050,Kill Bill: Vol. 1,2003,A roaring rampage of revenge.,""An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle �?? but she lives to plot her vengeance."",111,4.18";;;
"1000051,Shutter Island,2010,Someone is missing,""World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor."",138,4.1";;;
"1000052,Call Me by Your Name,2017,Is it better to speak or die?,""In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant."",132,3.86";;;
"1000053,The Matrix,1999,Welcome to the Real World.,""Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."",136,4.16";;;
"1000054,Ratatouille,2007,He's dying to become a chef.,""A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down."",111,4.2";;;
"1000055,Taxi Driver,1976,""On every street in every city, there's a nobody who dreams of being a somebody."",A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,114,4.18";;;
"1000056,Black Panther,2018,Long live the king.,""King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war."",135,3.64";;;
"1000057,Jojo Rabbit,2019,An anti-hate satire.,""A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism."",108,4.03";;;
"1000058,Guardians of the Galaxy,2014,All heroes start somewhere.,""Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser."",121,3.78";;;
"1000059,Fantastic Mr. Fox,2009,Dig the life fantastic!,""The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family."",87,4.27";;;
"1000060,Blade Runner 2049,2017,The key to the future is finally unearthed.,""Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years."",164,4.13";;;
"1000061,Arrival,2016,Why are they here?,""Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat."",116,4.11";;;
"1000062,10 Things I Hate About You,1999,How do I loathe thee? Let me count the ways.,""On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own."",97,3.97";;;
"1000063,Dead Poets Society,1989,He was their inspiration. He made their lives extraordinary.,""At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."",128,4.24";;;
"1000064,Don't Look Up,2021,Based on truly possible events.,""Two low-level astronomers, upon discovering that a meteor will strike the Earth in six months, go on a media tour to try to warn the world but find an unreceptive and unbelieving populace."",138,3.01";;;
"1000065,The Shawshank Redemption,1994,Fear can hold you prisoner. Hope can set you free.,""Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."",142,4.55";;;
"1000066,The Lord of the Rings: The Fellowship of the Ring,2001,One ring to rule them all,""Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."",179,4.36";;;
"1000067,The Perks of Being a Wallflower,2012,We are infinite.,""Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love�?�"",103,3.9";;;
"1000068,Coco,2017,The celebration of a lifetime,""Despite his family�??s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history."",105,4.12";;;
"1000069,Us,2019,Watch yourself,""Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited."",116,3.65";;;
"1000070,Drive,2011,Get In. Get Out. Get Away,""Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery."",100,3.94";;;
"1000071,Avatar: The Way of Water,2022,Return to Pandora.,""Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure."",192,3.62";;;
"1000072,Guardians of the Galaxy Vol. 3,2023,Once more with feeling.,""Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them."",150,3.97";;;
1000073,The Lighthouse,2019,There is enchantment in the light.,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,109,4.04;;;
"1000074,Spider-Man: Homecoming,2017,Homework can wait. The city can't.,""Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges."",133,3.47";;;
"1000075,Star Wars,1977,""A long time ago in a galaxy far, far away..."",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,121,4.18";;;
"1000076,Soul,2020,Is all this living really worth dying for?,""Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth."",101,3.94";;;
"1000077,Donnie Darko,2001,You can never go too far,""After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes."",114,3.97";;;
"1000078,Titanic,1997,Nothing on Earth could come between them.,""101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancǸ. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death�??on its first and last voyage�??on April 15, 1912."",194,3.8";;;
"1000079,Top Gun: Maverick,2022,Feel the need... The need for speed.,""After more than thirty years of service as one of the Navy�??s top aviators, and dodging the advancement in rank that would ground him, Pete �??Maverick�?� Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen. Facing an uncertain future and confronting the ghosts of his past, Maverick is drawn into a confrontation with his own deepest fears, culminating in a mission that demands the ultimate sacrifice from those who will be chosen to fly it."",131,4.0";;;
"1000080,Up,2009,The greatest adventure is just getting back home.,""Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life."",96,4.08";;;
"1000081,Inside Out,2015,Meet the little voices inside your head.,""Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions�?? Joy, Fear, Anger, Disgust and Sadness�??live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school."",95,3.82";;;
"1000082,Thor: Ragnarok,2017,No Hammer. No Problem.,""Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela."",131,3.74";;;
"1000083,GoodFellas,1990,Three Decades of Life in the Mafia.,""The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway."",145,4.48";;;
"1000084,Back to the Future,1985,He's the only kid ever to get into trouble before he was born.,""Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."",116,4.2";;;
"1000085,Good Will Hunting,1997,""Some people can never believe in themselves, until someone believes in them."",""Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire."",127,4.29";;;
"1000086,1917,2019,Time is the enemy,""At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers."",119,4.1";;;
"1000087,Doctor Strange in the Multiverse of Madness,2022,Enter a new dimension of Strange.,""Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary."",126,2.97";;;
"1000088,Deadpool,2016,Witness the beginning of a happy ending,""Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life."",108,3.66";;;
"1000089,Mad Max: Fury Road,2015,What a Lovely Day.,""An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order."",121,4.17";;;
"1000090,WALL��E,2008,""After 700 years of doing what he was built for, he'll discover what he was meant for."",""WALL��E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL��E thinks he's finally found a friend and stows away on the ship when it leaves."",98,4.19";;;
"1000091,Little Miss Sunshine,2006,A family on the verge of a breakdown,""A family loaded with quirky, colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant."",102,4.16";;;
"1000092,Uncut Gems,2019,This is how I win.,""A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win."",136,3.95";;;
"1000093,Harry Potter and the Prisoner of Azkaban,2004,Something wicked this way comes.,""Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black�??and turns to sympathetic Professor Lupin for help."",141,4.08";;;
"1000094,The Hunger Games,2012,May The Odds Be Ever In Your Favor.,""Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which �??Tributes�?� must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she�??s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching."",142,3.62";;;
"1000095,Moonlight,2016,This is the story of a lifetime,""The tender, heartbreaking story of a young man�??s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality."",111,4.2";;;
"1000096,Poor Things,2023,She's like nothing you've ever seen.,""Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation."",141,4.22";;;
"1000097,Mean Girls,2004,Welcome to girl world.,""Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."",97,3.82";;;
"1000098,Avatar,2009,Enter the World of Pandora.,""In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."",162,3.55";;;
"1000099,Howl's Moving Castle,2004,The two lived there,""When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."",119,4.31";;;
"1000100,Spider-Man: Far from Home,2019,It�??s time to step up.,""Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent."",129,3.37";;;
"1000101,Dunkirk,2017,Survival is Victory,""The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II."",107,3.77";;;
"1000102,The Avengers,2012,Some assembly required.,""When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"",143,3.63";;;
"1000103,2001: A Space Odyssey,1968,The Ultimate Trip.,""Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer."",149,4.31";;;
"1000104,X,2022,Dying to show you a good time.,""In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."",106,3.42";;;
